barátjával
barátnőjével
menyasszonyával
társával
vőlegényével
anyjával
apjával
bátyával
fiújával
fiával
húgával
lányával
nagyanyjával
nagypapával
nagybátyjával
nagynénjével
nőverével
öccsével
